# sendbird	stream	automation	tier	section	note
`MemberStateFilter`	`MemberFilters`	shape-shift	inferred	5. Membership, roles & moderation	invited/joined enum -> filter queryMembers on ChannelMemberResponse.invited / invite_accepted_at.
`Role`	`ChannelRole`	shape-shift	inferred	5. Membership, roles & moderation	OPERATOR/NONE enum -> channel_role strings (OPERATOR='channel_moderator', see BuiltinRoles); gate UI on capabilities not role.
`BannedUser* (3 symbols)`	`BannedUsersFilters` / `BannedUsersResponse`	shape-shift	inferred	5. Membership, roles & moderation	createBannedUserListQuery/params -> client.queryBannedUsers(filter/sort) -> BannedUsersResponse; or read ChannelMemberResponse.banned.
`BlockedUser* (3 symbols)`	`BlockedUsersState` / `BlockedUserDetails`	behavioral-diff	inferred	5. Membership, roles & moderation	Block-list query -> getBlockedUsers (BlockedUsersState); Stream block is DM-only, blocked users still post in shared groups.
`ChannelFrozenBanner`	- (gap)	none	inferred	5. Membership, roles & moderation	No built-in frozen banner; freeze via channel.updatePartial({ set: { frozen: true } }), read `disabled` ChannelContext flag, render own.
`createOpenChannel* (7 symbols)`	- (gap)	none	inferred	5. Membership, roles & moderation	Open-channel banned/muted/operators UIKit fragment+module factories; no prebuilt Stream RN; build on queryMembers + ban/moderator APIs.
`GroupChannelRegisterOperator* (2 symbols)`	`Channel.addModerators`	shape-shift	inferred	5. Membership, roles & moderation	Register-operator screen fragment/props -> no prebuilt; build on ChannelMemberList + addModerators / assignRoles.
`MutedInfo* (2 symbols)`	- (gap)	none	inferred	5. Membership, roles & moderation	Operator per-member muted-info / remainingDuration + getMyMutedInfo have no analog; Stream mute is personal - use timed ban expiry.
`MutedMemberFilter`	- (gap)	none	inferred	5. Membership, roles & moderation	Filters members by muted state; Stream has no operator channel-mute, so no muted-member filter - use banned-user query instead.
`MutedState`	- (gap)	none	inferred	5. Membership, roles & moderation	UNMUTED/MUTED enum for operator mute; no equivalent (mute is personal). Silenced state is a ban -> ChannelMemberResponse.banned/ban_expires.
`MutedUser* (3 symbols)`	`ChannelState.mutedUsers`	behavioral-diff	inferred	5. Membership, roles & moderation	createMutedUserListQuery -> read-only ChannelState.mutedUsers/useMutedUsers (personal mutes); operator channel-mute absent, use timed ban.
`OpenChannel* (33 symbols)`	- (gap)	none	inferred	5. Membership, roles & moderation	Open-channel banned-users/muted-participants/operators screen scaffolding (Contexts/Header/List/Status...); no prebuilt Stream RN equivalent.
`OperatorFilter`	`MemberFilters`	shape-shift	inferred	5. Membership, roles & moderation	Filter members by operator -> filter queryMembers on channel_role='channel_moderator' (see GetMemberRoles).
`OperatorList* (3 symbols)`	`Channel.queryMembers`	shape-shift	inferred	5. Membership, roles & moderation	createOperatorListQuery/params -> queryMembers filtered by channel_role='channel_moderator'; no dedicated operator query.
`OpenChannel.createChannelWithOperatorUserIds`	`Channel.create` + `Channel.addModerators`	shape-shift	inferred	5. Membership, roles & moderation	Create channel with operators -> create then addModerators (or members with channel_role); no operatorUserIds param.
`ReportCategory* (3 symbols)`	- (gap)	none	inferred	5. Membership, roles & moderation	No report-category enum/taxonomy; fold category into free-text reason of Moderation.flagMessage/flagUser. Build own category picker.
`MultipleFiles* (5 symbols)`	`Channel.sendMessage`	n-to-1	inferred	6. Attachments, media & polls	No MultipleFilesMessage type; upload each (sendImage/sendFile) then one sendMessage({attachments}). UI: AttachmentManager.uploadFiles; cap via maxNumberOfFilesPerMessage.
`FileMessage* (4 symbols)`	`Attachment` / `StreamChat.partialUpdateMessage`	n-to-1	inferred	6. Attachments, media & polls	No FileMessage class; media is attachments[]. Edit via updateMessage/partialUpdateMessage; resendFileMessage->re-send (tap-to-retry); copyFileMessage->gap.
`MessageRequestHandler.sendFileMessage` / `sendFileMessages` (2 symbols)	`Channel.sendImage` / `Channel.sendFile` + `Channel.sendMessage`	1-to-n	inferred	6. Attachments, media & polls	Two steps: upload (sendImage/sendFile)->attach URL->sendMessage({attachments}). No onPending/onSucceeded handler chain; AttachmentManager owns the pipeline.
`Thumbnail` / `ThumbnailSize` (2 symbols)	`Attachment` / `GenerateVideoThumbnailResult`	shape-shift	inferred	6. Attachments, media & polls	No multi-size thumbnails[] - single attachment.thumb_url; resize client-side. Video poster is your job: set thumb_url before send (gap).
`OGImage` (1 symbol)	`LinkPreview` / `URLPreview`	shape-shift	inferred	6. Attachments, media & polls	OG/link-preview data rides as URL enrichment on the message (LinkPreviewsManager), rendered by URLPreview. No OGImage object.
`FileService/FileSystem/MediaService interfaces + createNative*Service (5 symbols)`	- (gap)	none	inferred	6. Attachments, media & polls	No platformServices to register - Stream RN handles file/media/camera/clipboard internally via AttachmentManager + native pickers.
`FilePicker* (4 symbols)`	`AttachmentPicker` / `CameraPickerButton` / `FilePickerButton`	n-to-1	inferred	6. Attachments, media & polls	Picker built into MessageComposer; camera/document buttons feed AttachmentManager (pick->upload->attach). No manual openCamera/openDocument calls.
`FileType` / `FileCompat` / `FileInfo` (3 symbols)	`FileReference` / `FileLike`	shape-shift	inferred	6. Attachments, media & polls	Stream file descriptor is FileReference/FileLike ({uri,name,size,type}); on the attachment: url->asset_url/image_url, name->title, size->file_size, type->mime_type.
`CompressImage* (3 symbols)`	- (gap)	none	inferred	6. Attachments, media & polls	No compress-image service. Wire compression in the <Channel doFileUploadRequest> hook (e.g. react-native-compressor) then channel.sendFile. 100 MB upload cap.
`GetVideo* (3 symbols)`	`VideoThumbnail` / `GenerateVideoThumbnailResult`	n-to-1	inferred	6. Attachments, media & polls	No thumbnail service method; RN SDK renders VideoThumbnail for previews. For a video poster, generate it yourself and set attachment.thumb_url before send.
`OpenMediaLibraryOptions` (1 symbol)	`AttachmentMediaPicker` / `MediaPickerButton`	shape-shift	inferred	6. Attachments, media & polls	Media-library open options -> built-in media picker in the composer; selections flow into AttachmentManager. No options object to pass.
`VideoThumbnail` / `VideoProps` (2 symbols)	`VideoThumbnail` / `VideoThumbnailProps`	shape-shift	inferred	6. Attachments, media & polls	Near-rename: Stream ships its own VideoThumbnail (+VideoThumbnailProps); video also renders via Gallery/AnimatedGalleryVideo. Prop keys differ.
`Image` / `ImageWithPlaceholder` (2 symbols)	- (gap)	none	inferred	6. Attachments, media & polls	No themed Image atom exported; use RN's Image or let Gallery render image attachments (ImageBackground exists but isn't a drop-in replacement).
`ProfileCard` / `UserProfile* / useUserProfile` (4 symbols)	- (gap)	none	inferred	6. Attachments, media & polls	No built-in user-profile card/overlay; Sendbird's tap-avatar->profile sheet has no Stream RN analog. Build your own from client.queryUsers + a bottom sheet.
`OpenChannelCreateProfileInput` (1 symbol)	- (gap)	none	inferred	6. Attachments, media & polls	No prebuilt open-channel create screen (section 11). Build a form; ChannelEditDetailsForm/ChannelEditImageSheet cover name+image editing for group channels.
`Emoji* / EmojiCategory* / EmojiContainer* (6 symbols)`	- (gap)	none	inferred	6. Attachments, media & polls	No emoji catalog API; Stream reactions are free-form type strings. Provide your own emoji palette via the Channel supportedReactions prop.
`Poll* (9 symbols)`	`Poll` / `StreamChat.createPoll`	shape-shift	inferred	6. Attachments, media & polls	Ops->client/Poll: create->createPoll, addPollOption->createPollOption, closePoll->closePoll, updatePoll->updatePoll, get->getPoll; serialize/next->gap.
`PollCreateParams` (1 symbol)	`CreatePollData` / `PollComposer`	shape-shift	inferred	6. Attachments, media & polls	Fields->createPoll params/PollComposer. allowMultipleVotes->enforce_unique_vote (INVERTS); set max_votes_allowed, allow_user_suggested_options, voting_visibility.
`PollData` (1 symbol)	`PollData` / `PollResponse`	shape-shift	inferred	6. Attachments, media & polls	Field renames; poll carries options, vote_counts_by_option, latest_votes_by_option, is_closed, enforce_unique_vote - not Sendbird's status/allowMultipleVotes.
`PollOption* (3 symbols)`	`PollOption` / `StreamChat.getPollOption`	shape-shift	inferred	6. Attachments, media & polls	Option shape-shifts (PollOptionData); getOption->getPollOption; add/edit via createPollOption/updatePollOption. Vote tallies read from poll state.
`PollRetrievalParams` (1 symbol)	`StreamChat.getPoll` / `Poll.query`	shape-shift	inferred	6. Attachments, media & polls	Params for getPoll; no retrieval-params class. Poll.query() hydrates the reactive Poll state client-side.
`PollUpdate* (2 symbols)`	`PartialPollUpdate` / `StreamChat.updatePoll`	shape-shift	inferred	6. Attachments, media & polls	updatePoll/partialUpdatePoll (PartialPollUpdate). Update events arrive via WS (poll.updated) -> Poll.handlePollUpdated; no PollUpdateEvent object.
`PollVote* (2 symbols)`	`StreamChat.castPollVote` / `Poll.castVote`	shape-shift	inferred	6. Attachments, media & polls	votePoll->castPollVote (one option per call; also Channel.vote). Vote events via WS->Poll.handleVoteCasted; remove with removePollVote/Channel.removeVote.
`PollList* (3 symbols)`	`StreamChat.queryPolls` / `QueryPollsParams`	n-to-1	inferred	6. Attachments, media & polls	Stateful list query dies; queryPolls(filter,sort,options) is stateless. Params->QueryPollsFilters/QueryPollsOptions; cursor `next`, not hasNext.
`PollVoter* (3 symbols)`	`StreamChat.queryPollVotes` / `Poll.queryOptionVotes`	n-to-1	inferred	6. Attachments, media & polls	Stateless queryPollVotes / Poll.queryOptionVotes; params->QueryVotesFilters/Options / PollOptionVotesQueryParams. Answers via queryPollAnswers.
`PollChangelogs* (3 symbols)`	- (gap)	none	inferred	6. Attachments, media & polls	No poll changelog API; poll deltas arrive as WS events (poll.updated / poll.vote_*) and reconcile automatically on reconnect. Drop changelog polling.
`PollModule` (1 symbol)	`StreamChat.polls` / `StreamChat.createPoll`	n-to-1	inferred	6. Attachments, media & polls	No poll Module; poll methods live directly on the client (createPoll/castPollVote/queryPolls...) + client.polls (PollManager cache). No sdk.poll.
`PollStatus` (1 symbol)	- (gap)	none	inferred	6. Attachments, media & polls	No status enum; read poll.is_closed (open/closed), closePoll sets it, REMOVED->deletePoll. No PollStatus symbol.
`AsyncLocalCacheStorage`	`- (gap)`	none	inferred	7. Events, sync, push & offline	UIKit AsyncStorage cache adapter; Stream RN offline store is op-sqlite (SqliteClient) with no pluggable AsyncStorage/adapter interface.
`ConnectionHandler`	`client.on`	behavioral-diff	inferred	7. Events, sync, push & offline	No ConnectionHandler class; reconnection/recovery is automatic. Observe connection via client.on events + isOnline/connectionRecovering from useChatContext.
`FailedMessageHandler`	`Channel.sendMessage`	behavioral-diff	inferred	7. Events, sync, push & offline	onFailed(err,msg) callback -> catch on channel.sendMessage() Promise; failed state via MessageStatusTypes + retry(resend).
`FriendChangelogs*` (2 symbols)	`- (gap)`	none	inferred	7. Events, sync, push & offline	Stream has no friends/contacts graph; no friend changelog-by-token endpoint.
`GroupChannelChangelogs*` (6 symbols)	`client.sync`	behavioral-diff	inferred	7. Events, sync, push & offline	ChangeLogs by token/timestamp collapse to client.sync(cids,lastSyncAt); reconnect gap-fill automatic; Event context/source fold into one Event payload.
`MessageChangelogs*` (3 symbols)	`client.sync`	behavioral-diff	inferred	7. Events, sync, push & offline	getMessageChangeLogsSince* -> client.sync / channel.watch reconciliation; reconnect resync is automatic, no manual changelog rebuild.
`MessageChangeLogsParams`	`client.sync`	shape-shift	inferred	7. Events, sync, push & offline	Params class folds into client.sync arguments; no dedicated changelog-params object.
`MessageEventContext` / `MessageEventSource` (2 symbols)	`Event`	shape-shift	inferred	7. Events, sync, push & offline	Collection event context/source enum folds into the single discriminated Event payload; branch on event.type (no CollectionEventSource).
`MessageHandler`	`Channel.sendMessage`	behavioral-diff	inferred	7. Events, sync, push & offline	onSucceeded(message) callback -> await channel.sendMessage() resolution (Promise); list re-renders from the message.new event automatically.
`MessageRequestHandler*` (4 symbols)	`Channel.sendMessage`	n-to-1	inferred	7. Events, sync, push & offline	sendUserMessage/resendMessage/copyMessage + the chained handler collapse into channel.sendMessage() returning a Promise; retry via message state.
`ReactionEvent*` (4 symbols)	`channel.on`	behavioral-diff	inferred	7. Events, sync, push & offline	Reaction changes arrive as reaction.new/reaction.updated/reaction.deleted via channel.on; ReactionEventOperation -> event.type.
`SessionHandler`	`TokenProvider`	behavioral-diff	inferred	7. Events, sync, push & offline	Push onSessionTokenRequired -> pull TokenProvider passed to connectUser/useCreateChatClient; re-invoked on expiry. No session-handler object.
`ThreadInfoUpdateEvent`	`Thread`	behavioral-diff	inferred	7. Events, sync, push & offline	Thread reply-count/participant updates ride client.on thread events; read via Thread state (Thread.ownUnreadCount, etc.), not a typed event.
`UserEventHandler`	`client.on`	behavioral-diff	inferred	7. Events, sync, push & offline	onTotalUnreadMessageCountChanged/blocked ride ordinary client.on events (e.total_unread_count); block state via client.getBlockedUsers().
`useSBUHandlers`	`- (gap)`	none	inferred	7. Events, sync, push & offline	UIKit handler-registry hook; no equivalent. Register listeners directly with client.on/channel.on inside effects.
`AppleCriticalAlertOptions`	`- (gap)`	none	inferred	7. Events, sync, push & offline	APNs critical-alert payload is provider/dashboard push config, not a client-side option in Stream RN.
`DndSchedule*` (4 symbols)	`- (gap)`	none	inferred	7. Events, sync, push & offline	Recurring weekly do-not-disturb (quiet hours + timezone) unsupported; only one-shot snooze maps (setPushPreferences).
`DndSchedules*` (7 symbols)	`- (gap)`	none	inferred	7. Events, sync, push & offline	Per-day/weekday/weekend recurring DND schedule builder has no analog; use one-shot snooze or channel.mute instead.
`DndTimeWindow*` (2 symbols)	`- (gap)`	none	inferred	7. Events, sync, push & offline	Recurring DND time-window model unsupported; reimplement recurring quiet hours yourself.
`DoNotDisturbPreference*` (3 symbols)	`client.setPushPreferences`	behavioral-diff	inferred	7. Events, sync, push & offline	Only one-shot DND maps: set a snooze/disabled_until window via setPushPreferences; recurring/timezone DND is a gap.
`PushTemplate*` (3 symbols)	`- (gap)`	none	inferred	7. Events, sync, push & offline	Push templates are per-provider dashboard/server config (upsertPushProvider), not a runtime client switch.
`PushToken register/unregister*` (6 symbols)	`client.addDevice`	n-to-1	inferred	7. Events, sync, push & offline	register*->addDevice(id,push_provider), unregister*->removeDevice(id); PushTokenType->'apn'/'firebase' string; no registration-state enum (Promise).
`PushTokens*` (2 symbols)	`client.getDevices`	behavioral-diff	inferred	7. Events, sync, push & offline	getMyPushTokensByToken -> client.getDevices(userID); enumerate + prune stale tokens (no auto-dedupe, no token cursor).
`PushTriggerOption*` (5 symbols)	`client.setPushPreferences`	n-to-1	inferred	7. Events, sync, push & offline	ALL/OFF/MENTION_ONLY -> chat_level 'all'/'none'/'mentions' via setPushPreferences (add channel_cid per-channel); read channel.push_preferences.
`SnoozePeriod*` (3 symbols)	`client.setPushPreferences`	behavioral-diff	inferred	7. Events, sync, push & offline	One-shot snooze -> a disabled_until window on setPushPreferences; getSnoozePeriod reads it back. No standalone snooze object.
`usePushTokenRegistration`	`- (gap)`	none	inferred	7. Events, sync, push & offline	No push-registration hook; call client.addDevice/removeDevice in your own effects around connectUser.
`CachedDataClearOrder`	`- (gap)`	none	inferred	7. Events, sync, push & offline	OfflineDB is self-managed; no cache size/eviction-order tuning knob.
`LocalCacheConfig*` (3 symbols)	`Chat`	behavioral-diff	inferred	7. Events, sync, push & offline	Enable via <Chat enableOfflineSupport> + op-sqlite; maxSize/clearOrder/encryption and pluggable store adapter are all gaps (DB self-managed).
`MMKVLocalCacheStorage`	`- (gap)`	none	inferred	7. Events, sync, push & offline	No pluggable MMKV/AsyncStorage store; Stream RN offline store is op-sqlite (SqliteClient) only.
`MetaData*` (5: `MetaData`, `createMetaData`, `getAllMetaData`, `getMetaData`, `updateMetaData`)	`channel.updatePartial({ set / unset })` + read `channel.data`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Channel metadata -> top-level custom fields; no separate meta map. Values widen string-only -> any JSON.
`MetaCounter*` (7: `MetaCounter`, `create`/`decrease`/`getAll`/`get`/`increase`/`updateMetaCounters`)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	No atomic counter primitive. Emulate via `channel.updatePartial` read-modify-write (races) or a server endpoint.
`MessageMetaArray` + `BaseMessage.*MessageMetaArray*` (5)	`client.partialUpdateMessage(id, { set, unset })`	behavioral-diff	inferred	8. Metadata, counters, theming/i18n & other	Message meta-arrays -> message custom fields; NO atomic array add/remove or unique-key ops.
`OGMetaData`	`Attachment` (auto og-scrape)	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Stream auto-enriches URLs into an og/url-preview `Attachment` (og_scrape_url/title/text/image_url); no standalone OG object.
`createTheme`	`Theme` (`DeepPartial<Theme>` object)	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	No factory: author a plain `DeepPartial<Theme>`, pass on `<OverlayProvider value={{style}}>` + `<Chat style>`; read `useTheme()`.
`UIKit theme types*` (6: `UIKitTheme`, `UIKitColors`, `UIKitColorScheme`, `UIKitPalette`, `UIKitTypography`, `UIKitTypographyOverrides`)	`Theme`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Collapse to Stream's `Theme` (component-slot style tree). No palette->colors derivation, no global typography (per-slot).
`createTypography`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	No global typography object in `Theme`; set fontFamily/size per-component style slot.
`StringSet` + `StringSetEn` (2)	`Streami18n`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Re-key to i18next: keys are English source strings, not namespaced constants. `registerTranslation`/`setLanguage`; pass via `<Chat i18nInstance>`.
`UIKitThemeProvider` + `UIKitThemeContext` (2)	`OverlayProvider` (value.style) + `useTheme`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Theme travels on `<OverlayProvider value={{style}}>`/`<Chat style>`; read with `useTheme()`. No standalone theme provider to mount.
`SendbirdUIKit`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	Version/platform/default-flags constants object; no analog (those defaults become client options/props).
`UIKitConfigInfo`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	Dashboard UIKit-config payload from @sendbird/chat; no client-facing Stream equivalent.
`Foundation UI atoms*` (30: `ActionMenu`,`Alert`,`Avatar`,`Badge`,`BottomSheet`,`Box`,`Button`,`Divider`,`Header`,`Icon`,`Modal`,`Switch`,`Text`,`TextInput`,`Toast`,`Prompt`,`Placeholder`,+prop types)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	UIKit visual primitives; no drop-in set. Rebuild with RN core + Stream primitives; style via `Theme`. Stream does export `Avatar`.
`Dialog/overlay providers+hooks*` (10: `DialogProvider`,`ToastProvider`,`useActionMenu`,`useAlert`,`useBottomSheet`,`usePrompt`,`useToast`,`StatusComposition`,`TypedPlaceholder`,`ProviderLayout`)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	Stream `OverlayProvider` covers only action-sheet/image/attachment overlays. Roll dialogs yourself; use `EmptyStateIndicator`/`LoadingIndicator`.
`Foundation theming/style helpers*` (15: `Component`,`ComponentColors`,`ComponentColorTree`,`GetColorTree`,`FontAttributes`,`TypoName`,`createScaleFactor`,`createSelectByColorScheme`,`createStyleSheet`,`getDefaultHeaderHeight`,`CommonComponent`,`HeaderStyle*`,`useHeaderStyle`)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	Color-tree/typography/scale/stylesheet + header-style context helpers; Stream `Theme` + RN `StyleSheet` replace them.
`Platform services*` (18: `*ClipboardService*`,`*PlayerService*`,`*RecorderService*`,`RecorderOptions`,`PlatformService*`,`usePlatformService`,`Open*Options`,`OpenResultListener`,`SaveOptions`,`Unsubscribe`+listeners)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	Platform-service abstraction (clipboard/player/recorder/camera/file) dropped; Stream RN handles media/clipboard/audio internally.
`LocalizationContext` + `LocalizationProvider` + `useLocalization` (3)	`useTranslationContext` / `Streami18n`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	UIKit localization context -> `useTranslationContext()`; strings from a `Streami18n` instance on `<Chat i18nInstance>`.
`SendbirdChatContext` + `SendbirdChatProvider` (2)	`Chat` provider + `useChatContext`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Mount `<Chat client={client}>`; read client/user via `useChatContext()`. No hidden internal SDK instance.
`SendbirdChat client types*` (6: `SendbirdChatOptions`, `SendbirdChatParams`, `SendbirdChatWith`, `SendbirdGroupChat`, `SendbirdOpenChat`, `SendbirdChatWith.init`)	`StreamChat`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	One `StreamChat` client type (no modules generics/options classes). `init` -> `new StreamChat(apiKey)` + `connectUser`.
`SendbirdError` + `SendbirdErrorCode` (2)	`ErrorFromResponse`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Stream throws `ErrorFromResponse` with numeric `error.code`; no exported error-code enum — branch on the code number.
`SBUError`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	UIKit-internal error wrapper; no analog. Catch `ErrorFromResponse` from client calls.
`UnreadItem*` (4: `UnreadItemCount`, `UnreadItemCountParams`, `UnreadItemKey`, `getUnreadItemCount`)	`client.getUnreadCount()` / `channel.countUnread()`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Per-item unread breakdown -> `getUnreadCount()` (totals) + `countUnread()`/`countUnreadMentions()` per channel.
`CountPreference` + `setMyCountPreference` (2)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	No per-user unread-count-mode toggle; Stream always counts (enable "Read Events"); split mentions via `countUnreadMentions()`.
`SendingStatus`	`MessageStatusTypes` (`message.status`)	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	PENDING->'sending', SUCCEEDED->'received', FAILED->'failed' on `LocalMessage`; SCHEDULED/CANCELED have no equivalent.
`DeliveryStatus`	`MessageReceiptsTracker` (`deliveredForMessage`) + `message.delivered`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	-> sendbird-notes.md#deliverystatus
`ReadStatus`	`ReadResponse` (`channel.state.read`)	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Read via `channel.state.read[userId].last_read`; requires "Read Events". No per-message ReadStatus object.
`Sender` + `Participant` (2)	`UserResponse`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Message sender / open-channel participant collapse into `UserResponse` (`message.user`, watchers/members). userId->id, nickname->name, profileUrl->image.
`ChatFlatList`	`MessageList`	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	`MessageList` owns the internal inverted FlatList + pagination; don't render a raw list.
`EditInput`	`MessageComposer` (edit mode)	shape-shift	inferred	8. Metadata, counters, theming/i18n & other	Edit is a composer state (`useMessageInputContext` editing), not a separate input component.
`ScrollToBottomButton`	`ScrollToBottomButton`	behavioral-diff	inferred	8. Metadata, counters, theming/i18n & other	Stream ships its own, auto-rendered inside `MessageList`; override via context rather than mounting standalone.
`HiddenState`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	`channel.hide()`/`show()` exist but no HIDDEN_ALLOW/PREVENT_AUTO_UNHIDE modes; read `hidden` off the query response.
`InvitationPreference`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	No global auto-accept setting; choose per call: `addMembers` (immediate) vs `inviteMembers` (pending accept/reject).
`RestrictionInfo` + `RestrictionType` (2)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	No restriction-info object; use `channel.banUser(id,{timeout,reason})`/`unbanUser` (+ shadow ban). Read via `queryBannedUsers`.
`Encryption`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	Stream OfflineDB is self-managed (op-sqlite); no cache-encryption hook (section 14).
`MemoryStore*` (3: `MemoryStore`, `MemoryStoreParams`, `getMemoryStoreForDebugging`)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	No pluggable in-memory cache store; offline state lives in op-sqlite `offlineDb`, not app-configurable.
`StoreItem`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	Cache store-item type; OfflineDB internal, not exposed.
`DeviceOsInfo` + `DeviceOsPlatform` (2)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	SDK device/OS telemetry types; no client-facing Stream equivalent.
`SendbirdPlatform` + `SendbirdProduct` + `SendbirdSdkInfo` (3)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	Internal platform/product/SDK-info descriptors; no analog (the SDK sets its own agent).
`DayOfWeek`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	Only used for recurring DND quiet hours (a gap, sections 10/15); Stream supports one-shot snooze only.
`MessengerSettingsParams`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	AI-Agent/Desk messenger settings; no stream-chat equivalent (section 15).
`Plugin`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	SDK plugin base class; stream-chat has no plugin system.
`SBUUtils`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	UIKit utility class; no analog — inline the specific helpers you use.
`ErrorBoundaryProps`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	UIKit error-boundary prop type; use your own RN error boundary.
`Range`	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	UIKit mention text-range type; no exported analog (mentions handled by the composer).
`KeyValuePairGet` + `KeyValuePairSet` (2)	`- (gap)`	none	inferred	8. Metadata, counters, theming/i18n & other	AsyncStorage KV cache-adapter types; Stream offline uses op-sqlite, no KV adapter to implement.
`FeedChannel*` (16 symbols)	`- (gap)`	none	inferred	9. Feed channel, scheduled send & AI-Agent/Desk (gaps)	No stream-chat FeedChannel class/module/query/changelogs. Approximate a read-only feed with an admin-post-only `messaging` channel, or adopt the separate Stream Feeds SDK.
`Notification*` (Message/Collection/Template/Category/Data/Setting, 18 symbols)	`- (gap)`	none	inferred	9. Feed channel, scheduled send & AI-Agent/Desk (gaps)	Sendbird Notifications feed has no chat analog; templates/categories/impression logging are gone. Model as plain admin messages; rebuild telemetry app-side.
`GroupChannelNotifications*` / `createNativeNotificationService` (UIKit, 10 symbols)	`- (gap)`	none	inferred	9. Feed channel, scheduled send & AI-Agent/Desk (gaps)	No prebuilt notifications-feed screen in stream-chat-react-native; build a read-only `MessageList` over an admin-post `messaging` channel.
`*Scheduled*` (create/update/query/status/info, 17 symbols)	`- (gap)`	none	inferred	9. Feed channel, scheduled send & AI-Agent/Desk (gaps)	No client scheduled send in stream-chat. Schedule server-side (server SDK/cron); for compose-later use drafts (`Channel.createDraft`/`getDraft`).
`AIAgent*` (32 symbols)	`- (gap)`	none	inferred	9. Feed channel, scheduled send & AI-Agent/Desk (gaps)	No managed AI-Agent product; wire your own LLM backend. Stream Chat AI primitives exist: `Channel.updateAIState`/`stopAIResponse`/`clearAIIndicator` + `AIState`.
`Conversation*` / `Desk` / `Helpdesk*` (handoff/CSAT/close/resolution, 17 symbols)	`- (gap)`	none	inferred	9. Feed channel, scheduled send & AI-Agent/Desk (gaps)	No conversation/handoff/CSAT/close model; model as a `messaging` Channel + backend. Handoff/close/CSAT become custom events/data + `channel.update`.
`Feedback` / `FeedbackRating` / `FeedbackStatus` (3 symbols)	`- (gap)`	none	inferred	9. Feed channel, scheduled send & AI-Agent/Desk (gaps)	No message-feedback API in stream-chat. Model thumbs up/down as a reaction (`Channel.sendReaction`) or custom message data.
